id,x,y,z,vx,vy,vz,energy,frequency,phase,spin
4798,-38.0546,-151.4414,152.1134,3.543794,6.666112,-7.859965,3.0937,1.0000,0.4891,-1
5042,26.6194,48.1487,40.5853,6.668244,0.802847,6.931132,3.0605,0.5000,3.8624,-1
1519,-57.9050,24.2357,7.4962,-18.812203,5.590688,0.510977,0.8488,0.5000,1.3957,-1
6740,41.2188,107.5303,80.1939,-0.230828,-12.827929,-4.211953,2.4821,1.0000,3.8509,1
1025,155.7416,43.3958,83.1727,17.885424,10.474082,7.285936,2.3710,1.0000,3.0925,1
2428,-82.9866,104.5153,-10.1331,-4.577751,5.725024,5.555582,0.9729,0.5000,1.6252,1
716,106.6245,-101.8443,-162.2854,11.279905,-11.776679,-17.024429,0.6703,1.5000,5.4897,-1
9239,77.5055,22.6181,-152.7686,11.826552,4.722366,-13.167247,3.2476,1.6180,0.2679,-1
945,82.2456,-193.6245,45.0455,12.148028,-13.107662,3.938189,2.6492,1.0000,2.1363,1
6131,-78.3083,-117.1449,37.2208,0.619732,-5.888010,-2.865613,3.0948,1.0000,1.6138,-1
2868,-49.1830,0.2438,193.2583,-4.353581,-0.061174,20.420723,3.3077,0.5000,2.8782,-1
8580,48.8724,123.3996,-6.2219,5.753102,2.091626,3.719532,3.0520,0.5000,0.2550,-1
2137,20.9055,37.4181,111.8645,6.932713,6.086853,-2.566306,1.9145,1.5000,1.3449,1
496,-42.8654,56.8272,-10.7947,-12.898867,11.122454,7.606631,0.9696,1.0000,1.3661,1
9429,-125.2422,102.6847,40.9602,-2.696587,4.212178,-3.029809,2.0226,1.5000,5.5842,1
5776,96.2830,-92.6476,33.7733,7.213623,2.002046,-3.410799,2.2313,1.0000,4.7722,-1
7604,-10.5483,15.2854,-57.4355,1.436178,5.515111,3.806617,2.0184,1.5000,3.0282,-1
647,201.6220,26.1624,86.9055,18.563988,6.485435,11.300441,1.5089,1.3330,2.3152,-1
9980,145.4459,37.9821,171.5527,8.720096,4.084721,5.430533,1.9017,1.5000,3.6243,-1
4949,142.5065,30.3401,-124.8525,11.867110,-0.813378,-9.303045,2.0561,0.6660,2.3012,-1
982,-12.0834,47.6342,-5.0416,-3.253966,0.410743,-9.697151,2.4082,1.5000,3.8567,-1
6075,110.9160,-67.2159,-14.2344,4.618181,4.417985,1.989268,2.7443,1.0000,2.0659,-1
1908,75.1009,15.1216,44.8342,19.222607,-0.782368,8.363229,3.2986,1.3330,0.2870,-1
7676,-57.5925,-15.8612,97.4430,-2.214633,-4.398525,5.302341,3.3259,1.6180,5.6357,-1
232,-26.1990,153.3660,-221.8609,-5.179714,11.357075,-14.444984,1.2858,0.6660,1.0039,1
4296,28.4700,-129.1023,68.6485,-0.923239,-2.220284,0.089132,2.1827,1.0000,2.9905,-1
